Song,Date,Number of Plays
last,2022-09-19,361
second,2022-09-27,1143
second,2022-09-19,1310
first,2022-09-22,825
forth,2022-09-20,919
last,2022-09-23,1921
first,2022-09-24,1632
third,2022-09-25,474
last,2022-09-26,714
forth,2022-09-25,752
last,2022-09-25,581
third,2022-09-22,873
last,2022-09-23,1668
second,2022-09-26,52
first,2022-09-22,611
third,2022-09-21,1281
second,2022-09-23,853
second,2022-09-25,1785
forth,2022-09-24,577
second,2022-09-24,1588
second,2022-09-23,1625
second,2022-09-23,1661
last,2022-09-22,1894
last,2022-09-24,409
third,2022-09-22,1653
last,2022-09-18,1575
first,2022-09-22,706
last,2022-09-25,470
third,2022-09-23,1691
forth,2022-09-20,1665
second,2022-09-22,647
third,2022-09-20,50
last,2022-09-21,813
third,2022-09-18,1636
first,2022-09-23,881
last,2022-09-27,558
forth,2022-09-21,1555
last,2022-09-19,182
forth,2022-09-25,727
forth,2022-09-20,238
first,2022-09-18,348
second,2022-09-25,484
forth,2022-09-20,1968
last,2022-09-27,1500
third,2022-09-22,844
forth,2022-09-21,1650
first,2022-09-21,1073
forth,2022-09-20,224
third,2022-09-23,966
second,2022-09-21,280
third,2022-09-24,173
first,2022-09-23,1363
second,2022-09-20,1237
last,2022-09-20,1337
last,2022-09-21,382
first,2022-09-20,110
forth,2022-09-20,1069
last,2022-09-23,1243
third,2022-09-26,935
third,2022-09-19,1484
last,2022-09-23,1734
first,2022-09-20,1335
forth,2022-09-23,1051
last,2022-09-21,1201
second,2022-09-22,1378
first,2022-09-23,1540
last,2022-09-19,269
third,2022-09-24,413
last,2022-09-27,500
third,2022-09-23,1348
forth,2022-09-18,1650
first,2022-09-27,1328
third,2022-09-24,116
forth,2022-09-19,10
second,2022-09-22,820
forth,2022-09-26,808
third,2022-09-19,1965
forth,2022-09-25,394
second,2022-09-23,707
third,2022-09-21,1580
third,2022-09-20,620
last,2022-09-26,1549
last,2022-09-19,1202
forth,2022-09-24,1199
second,2022-09-21,1629
first,2022-09-24,1734
forth,2022-09-18,1925
second,2022-09-22,1092
last,2022-09-19,386
second,2022-09-23,1640
second,2022-09-23,1115
forth,2022-09-23,1899
last,2022-09-19,1375
third,2022-09-27,419
second,2022-09-18,648
first,2022-09-19,1925
second,2022-09-21,1610
third,2022-09-19,493
third,2022-09-26,1784
forth,2022-09-25,389
first,2022-09-21,489
first,2022-09-27,311
second,2022-09-22,1117
last,2022-09-25,1800
last,2022-09-21,1032
third,2022-09-25,14
first,2022-09-22,619
second,2022-09-18,1237
third,2022-09-19,1746
second,2022-09-24,887
third,2022-09-23,1625
second,2022-09-27,1541
first,2022-09-18,380
forth,2022-09-22,1040
third,2022-09-23,770
last,2022-09-21,853
last,2022-09-26,1516
last,2022-09-24,1158
last,2022-09-18,511
first,2022-09-27,528
third,2022-09-23,1928
first,2022-09-22,1653
first,2022-09-26,749
second,2022-09-27,1052
forth,2022-09-21,1808
last,2022-09-19,846
first,2022-09-26,163
forth,2022-09-24,1216
third,2022-09-18,1530
forth,2022-09-18,741
first,2022-09-27,1605
last,2022-09-23,1669
last,2022-09-19,1745
last,2022-09-27,19
last,2022-09-20,649
forth,2022-09-26,1588
second,2022-09-22,1399
third,2022-09-25,13
forth,2022-09-19,196
second,2022-09-25,18
first,2022-09-24,1988
third,2022-09-22,1758
first,2022-09-22,1558
last,2022-09-21,1678
last,2022-09-20,1431
second,2022-09-23,678
last,2022-09-23,919
last,2022-09-22,1208
first,2022-09-23,244
forth,2022-09-22,1163
forth,2022-09-27,1516
last,2022-09-22,815
third,2022-09-19,1380
third,2022-09-24,1705
forth,2022-09-26,813
forth,2022-09-25,1157
first,2022-09-22,941
third,2022-09-18,112
last,2022-09-18,1703
last,2022-09-25,1126
last,2022-09-21,1428
forth,2022-09-26,682
last,2022-09-20,1766
forth,2022-09-19,380
third,2022-09-26,1789
first,2022-09-27,836
first,2022-09-20,1256
third,2022-09-21,1815
forth,2022-09-27,910
third,2022-09-22,1771
last,2022-09-25,441
forth,2022-09-24,1218
first,2022-09-26,1277
third,2022-09-27,341
last,2022-09-27,1679
forth,2022-09-21,896
second,2022-09-19,1406
second,2022-09-19,792
third,2022-09-21,1813
forth,2022-09-27,888
third,2022-09-26,392
third,2022-09-19,510
second,2022-09-19,1232
forth,2022-09-27,858
second,2022-09-22,1894
forth,2022-09-21,721
last,2022-09-20,1185
forth,2022-09-19,522
first,2022-09-18,617
third,2022-09-18,587
forth,2022-09-25,1327
third,2022-09-21,386
forth,2022-09-23,1763
first,2022-09-24,957
second,2022-09-18,1621
first,2022-09-19,1579
second,2022-09-26,172
forth,2022-09-21,1937
last,2022-09-18,1199
second,2022-09-22,475
first,2022-09-26,30
second,2022-09-19,1205
first,2022-09-19,1737
second,2022-09-24,1696
second,2022-09-18,920
third,2022-09-20,304
third,2022-09-20,1967
third,2022-09-27,234
last,2022-09-22,1895
first,2022-09-26,1462
third,2022-09-20,997
last,2022-09-26,215
forth,2022-09-22,1521
second,2022-09-22,1871
first,2022-09-25,1744
second,2022-09-23,1310
second,2022-09-22,1823
last,2022-09-27,308
forth,2022-09-19,227
first,2022-09-27,1761
last,2022-09-22,1598
last,2022-09-24,4
first,2022-09-24,659
first,2022-09-20,671
first,2022-09-18,892
forth,2022-09-25,881
second,2022-09-24,1901
second,2022-09-23,1636
last,2022-09-20,1687
forth,2022-09-21,1354
third,2022-09-22,512
forth,2022-09-24,1615
forth,2022-09-21,660
third,2022-09-25,642
forth,2022-09-25,1280
second,2022-09-23,337
last,2022-09-25,249
first,2022-09-27,491
last,2022-09-19,714
forth,2022-09-23,998
second,2022-09-23,1153
forth,2022-09-18,348
first,2022-09-27,1655
